"Gender","Age","City","Gov_Assistance","Education_Level","Physical_Activity","Breakfast_Frequency","Whole_Grain_Consumption","Dairy_Products_Consumption","Caffeine_Consumption","Fruits_Consumption","Vegetables_Consumption","Fish_Consumption","Food Security Score","Resilience Score","Stress Mindset Score","Mental Distress Score","FC"
"Male","18-22","Aqaba","No","High School","3 times","5 times","Never","3 times","5 times or more","3 times","5 times or more","2 times",0,22,15,31,"high"
"Female","50 and older","Aqaba","No","Undergraduate","4 times","6 or 7 times","3 times","1 time","5 times or more","3 times","4 times","2 times",0,25,14,26,"high"
"Male","50 and older","Aqaba","No","Undergraduate","None","6 or 7 times","1 time","5 times or more","5 times or more","3 times","3 times","1 time",0,30,11,25,"high"
"Female","18-22","Irbid","No","Undergraduate","3 times","2 times","Never","3 times","2 times","3 times","4 times","4 times",4,14,15,34,"low"
"Female","50 and older","Aqaba","No","Undergraduate","5 times","6 or 7 times","2 times","3 times","2 times","4 times","3 times","1 time",0,24,16,23,"high"
"Female","50 and older","Irbid","No","Undergraduate","6-7 times","Never","Never","5 times or more","5 times or more","5 times or more","5 times or more","1 time",0,20,9,29,"high"
"Male","18-22","Irbid","No","High School","6-7 times","3 times","2 times","4 times","5 times or more","2 times","5 times or more","Never",1,15,9,33,"high"
"Male","18-22","Irbid","No","High School","5 times","3 times","2 times","3 times","3 times","3 times","3 times","Never",4,24,22,25,"low"
"Female","40-49","Aqaba","No","Undergraduate","6-7 times","1 time","4 times","3 times","5 times or more","5 times or more","5 times or more","3 times",0,24,10,27,"high"
"Female","50 and older","Amman","No","Undergraduate","4 times","6 or 7 times","1 time","1 time","5 times or more","5 times or more","5 times or more","4 times",0,26,25,25,"high"
"Female","40-49","Ajlun","No","Graduate","6-7 times","6 or 7 times","1 time","2 times","5 times or more","4 times","3 times","1 time",0,20,11,32,"high"
"Male","50 and older","Irbid","No","Undergraduate","2 times","5 times","4 times","4 times","5 times or more","4 times","4 times","1 time",0,24,14,26,"high"
"Male","50 and older","Irbid","No","Undergraduate","5 times","1 time","2 times","3 times","5 times or more","4 times","5 times or more","2 times",0,15,12,38,"high"
"Male","50 and older","Amman","No","Undergraduate","3 times","6 or 7 times","5 times or more","4 times","5 times or more","3 times","4 times","2 times",0,22,16,27,"high"
"Female","50 and older","Irbid","No","Undergraduate","4 times","2 times","2 times","2 times","4 times","5 times or more","3 times","2 times",0,23,10,25,"high"
"Female","50 and older","Aqaba","No","Graduate","None","6 or 7 times","4 times","4 times","5 times or more","5 times or more","3 times","3 times",0,25,12,26,"high"
